MAIN_MARK,PALLET_NO,SHIPPER_CD,SHIP_TO_CD,CUSTOMER_CD,LGCY_SHIP_TO,TRNS_CD,TRNS_CD_ORG,REVISE_FLG,PLNT_CD,LGCY_WH_CD,CUR_LGCY_WH_CD,PKG_FORM_TYP,INVOICE_KEY,CONTAINER_SORTING_KEY,CONTAINER_LOOSE_TYP,RETURN_STYLE_CD,VARIANT_FLG,RT_USE_FLG,WEIGHT_UNIT,NET_WEIGHT,GROSS_WEIGHT,LENGTH_UNIT,LENGTH,WIDTH,HEIGHT,VOLUME_UNIT,VOLUME,SUPPLIER_MAIN_MARK,CML_TYP,OUTER_PKG_CD,EXP_PACKING_DT,EXP_PACKING_ISSUER_ID,EXP_PACKING_ISSUER_NM,DUE_DT,STG_INSTR_ITEM_FLG,CONSIGNEE_CD,COMMERCIAL_FLG,TRADE_TERMS,CURR_CD,PLTZ_STATUS,PACKING_WH_COMP_CD,PACKING_WH_CD,CUR_WH_COMP_CD,CUR_WH_CD,XMAIN_MARK,INVOICE_NO,INVOICE_ISSUE_DT,LOADING_CD,SITE_TYP,EXP_LIMIT_FLG,DNGR_ITEM_FLG,STG_INSTR_NO,STG_ACT_NO,SHIPPING_FIRM_NO,CUSTOM_TIMING_TYP,LAST_TR_STATUS,LAST_TR_RCV_DT,PLTZ_INSTR_NO,EXP_REQUEST_NO,EXP_REQUEST_ALL_CML_ISSUED_FLG,SPLIT_SHIPPING_NG_FLG,SHIPPER_COMP_NM_ABB,SHIPPER_COMP_NM_1,SHIPPER_COMP_NM_2,SHIPPER_COMP_ADDR_1,SHIPPER_COMP_ADDR_2,SHIPPER_COMP_ADDR_3,SHIPPER_COMP_ADDR_4,SHIPPER_COMP_TEL,SHIPPER_COMP_FAX,CONSIGNEE_COMP_NM_1,CONSIGNEE_COMP_NM_2,CONSIGNEE_COMP_ADDR_1,CONSIGNEE_COMP_ADDR_2,CONSIGNEE_COMP_ADDR_3,CONSIGNEE_COMP_ADDR_4,CONSIGNEE_COMP_TEL,CONSIGNEE_COMP_FAX,CONSIGNEE_ATTN,SHIP_TO_NM_1,SHIP_TO_NM_2,SHIP_TO_ADDR_1,SHIP_TO_ADDR_2,SHIP_TO_ADDR_3,SHIP_TO_ADDR_4,SHIP_TO_TEL,INVOICE_CTGRY,PRICE_TERMS,TERMS_POINT,PAY_TERMS,PAY_METH,RE_EXP_GOODS_FLG,SUPPLIER_INVOICE_NO,IMP_INVOICE_NO_1,IMP_INVOICE_NO_2,FREIGHT_RESPONSIBLE_CD,MIGRATION_FLG,OLD_QR_MIX_TYP,OLD_QR_CONTAINER_GRP_CD,COM_UPDATE_FUNC_ID,COM_UPDATE_USER_ID,COM_UPDATE_TIMESTAMP,COM_CREATE_FUNC_ID,COM_CREATE_USER_ID,COM_CREATE_TIMESTAMP
DMY7WH01405980050,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,55:49.0,WC001,nexus,55:49.0
DMY7WH01405980051,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,55:49.0,WC001,nexus,55:49.0
DMY7WH01405980052,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,55:49.0,WC001,nexus,55:49.0
DMY7WH01405980053,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,55:49.0,WC001,nexus,55:49.0
DMY7WH01405980054,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,55:49.0,WC001,nexus,55:49.0
DMY7WH01405980055,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,55:49.0,WC001,nexus,55:49.0
DMY7WH01405980056,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,55:49.0,WC001,nexus,55:49.0
DMY7WH01405980057,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,55:49.0,WC001,nexus,55:49.0
DMY7WH01405980058,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,55:49.0,WC001,nexus,55:49.0
DMY7WH01405980059,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:32.0,WC001,nexus,56:32.0
DMY7WH01405980060,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:32.0,WC001,nexus,56:32.0
DMY7WH01405980061,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:32.0,WC001,nexus,56:32.0
DMY7WH01405980062,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:32.0,WC001,nexus,56:32.0
DMY7WH01405980063,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:32.0,WC001,nexus,56:32.0
DMY7WH01405980064,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980065,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980066,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980067,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980068,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980069,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980070,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980071,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980072,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980073,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980074,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980075,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980076,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980077,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980078,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980079,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980080,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980081,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980082,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980083,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980084,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980085,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980086,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980087,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980088,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980089,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980090,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980091,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980092,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980093,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980094,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980095,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980096,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980097,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980098,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980099,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
DMY7WH01405980100,S001,MY7,MY7, ,,S,S,N,M1, ,,S,,MY7001,L,bbbbbbbbbbbbbbbbbb,N,Y,KG,3,20,MR,1,2,3,LT,6,,2,,2014/5/10,nexus,拠点　太郎,,N,MY7,N,,2,10,MY7,WH01,MY7,WH01,,,,D,,N,N,,,,Z,10,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,FOB,,,,N,,,,P,N,,,WC001,nexus,56:33.0,WC001,nexus,56:33.0
